44,379878.0
45,381986.0
46,383412.0
47,386568.0
48,388132.0
49,389039.0
50,386117.0
51,381689.0
52,373822.0
53,363009.0
54,352271.0
55,341434.0
56,330382.0
57,320502.0
58,309425.0
59,300208.0
60,293451.0
61,287123.0
62,284219.0
63,282718.0
64,283834.0
65,291104.0
66,304898.0
67,297616.0
68,286187.0
69,270604.0
70,243695.0
71,229158.0
72,211269.0
73,195787.0
74,184638.0
75,178322.0
76,174346.0
77,166117.0
78,156174.0
79,144544.0
80,133262.0
81,123208.0
82,113197.0
83,103524.0
84,93188.0
85,81788.0
86,70984.0
87,60826.0
88,51394.0
89,42829.0
